id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,pulled_at,market_cap_tier
35626,Story,IP,story-protocol,111,2025-02-06T07:02:40.000Z,"['ai-big-data', 'smart-contracts', 'layer-1', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,286026872.0,1008218539.0,True,,77,250000000.0,717994494.4287609,,2025-07-01T18:26:00.000Z,2.8719779777150434,17197455.46308885,-30.9965,-2.01724555,-1.47320944,-4.60179954,-30.50689847,-29.13199695,-36.29196759,821462877.4187195,0.0252,2895581440.73,,2025-07-01T18:26:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
28752,dogwifhat,WIF,dogwifhat,703,2023-12-19T09:08:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel', 'animal-memes', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",998840592.989347,998840236.3192,998840236.3192,False,,78,,,,2025-07-01T18:25:00.000Z,0.7921745470573257,273130079.35355043,-22.4856,-1.49658816,-9.0347995,-7.02417026,-7.30900392,23.43389337,92.262246,791255811.7887945,0.0243,791256094.33,,2025-07-01T18:25:00.000Z,5426.0,Solana,SOL,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
6719,The Graph,GRT,the-graph,563,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions', 'defi', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'avalanche-ecosystem', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'spartan-group', 'injective-ecosystem', 'sora-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,9875210669.585089,10800262823.318213,False,,79,,,,2025-07-01T18:25:00.000Z,0.07958415831262482,28436168.01839507,-8.2676,-1.05287195,-6.55598368,-4.20290361,-16.58167573,-19.80446002,-8.97535694,785910329.2987814,0.0241,859529826.35,,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
10603,Immutable,IMX,immutable-x,374,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'privacy', 'zero-knowledge-proofs', 'gaming', 'scaling', 'ethereum-ecosystem', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio', 'modular-blockchain', 'binance-ecosystem', 'binance-listing']",2000000000.0,1866386427.3898141,2000000000.0,False,,80,570354831.0,239832294.5943182,,2025-07-01T18:26:00.000Z,0.4204966479793317,26475421.32497207,-61.0908,-0.83875508,-5.73806233,-0.06210628,-23.45429547,-34.88894855,-18.36966222,784809236.5515372,0.0241,840993295.96,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
2694,Nexo,NEXO,nexo,159,2018-05-01T00:00:00.000Z,"['services', 'payments', 'ethereum-ecosystem', 'polygon-ecosystem', 'cardano-ecosystem', 'alleged-sec-securities', 'binance-ecosystem', 'binance-listing']",1000000000.0,646145839.5746847,1000000000.0,False,,81,1000000000.0,1206213346.7461562,1.64664442,2025-07-01T18:25:00.000Z,1.2062133467461562,10647031.27243183,34.2032,-0.16676858,-0.68057865,0.6803071,-1.88204119,-3.52492909,10.74814448,779389735.6394855,0.0239,1206213346.75,473320000.53218,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
36462,Vaulta,A,vaulta,147,2025-05-28T09:48:03.000Z,"['medium-of-exchange', 'enterprise-solutions', 'defi', 'smart-contracts', 'eos-ecosystem', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio', 'dwf-labs-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",2100000000.0,1575155627.4938,2100000000.0,False,,82,1562570047.65,741664972.7081033,,2025-07-01T18:25:00.000Z,0.47464430399361446,31061215.40676514,10.5041,-1.14057609,-3.90496052,-6.15213769,-27.39527415,-38.74536061,-38.74536061,747638646.4934198,0.0229,996753038.39,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
28541,Jito,JTO,jito,313,2023-12-07T16:04:41.000Z,"['defi', 'staking', 'dao', 'solana-ecosystem', 'liquid-staking-derivatives', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",,343082482.2,999999709.5136558,False,,83,273926155.0,575496873.5501764,,2025-07-01T18:26:00.000Z,2.100919766315036,67555528.2161477,-38.0801,-0.88783444,-11.19848261,-0.32415509,24.92984736,16.2714942,-8.2492604,720788768.3304065,0.0221,2100919156.03,,2025-07-01T18:26:00.000Z,5426.0,Solana,SOL,solana,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
7186,PancakeSwap,CAKE,pancakeswap,1694,2020-09-25T00:00:00.000Z,"['collectibles-nfts', 'decentralized-exchange-dex-token', 'defi', 'privacy', 'smart-contracts', 'ethereum-ecosystem', 'yield-farming', 'amm', 'dex', 'governance', 'arbitrum-ecosystem', 'bnb-chain-ecosystem', 'aptos-ecosystem', 'zksync-era-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'move-vm', 'polygon-zkevm-ecosystem', 'opbnb-ecosystem', 'binance-ecosystem', 'binance-listing']",450000000.0,320595895.1912498,366929874.1053557,False,,84,,,0.40734243,2025-07-01T18:26:00.000Z,2.245184845379237,52270219.26081429,-14.2528,-0.38625297,-4.09023603,2.43899829,-4.89253214,9.51322777,18.51823639,719797045.3741843,0.0221,1010333180.42,1767056402.6285303,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
6538,Curve DAO Token,CRV,curve-dao-token,863,2020-08-14T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'ethereum-ecosystem', 'yield-farming', 'amm', 'governance', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosystem', 'optimism-ecosystem', 'dwf-labs-portfolio', 'base-ecosystem', 'gnosis-chain-ecosystem', 'binance-ecosystem', 'binance-listing']",3030303030.299,1359341115.5264883,2278061919.6376514,False,,85,,,,2025-07-01T18:26:00.000Z,0.4999387087159979,112671204.99595992,-1.6267,-1.19144333,-2.6469491,-12.09795718,-25.36971407,-32.06654906,-4.15629099,679587242.0008767,0.0208,1514965783.99,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
10804,FLOKI,FLOKI,floki-inu,647,2021-07-09T00:00:00.000Z,"['defi', 'gaming', 'memes', 'ethereum-ecosystem', 'metaverse', 'doggone-doggerel', 'play-to-earn', 'bnb-chain-ecosystem', 'dwf-labs-portfolio', 'paal-ecosystem', 'tokenfi-launchpad', 'animal-memes', 'binance-ecosystem', 'binance-listing']",,9624117971196.068,9660260916718.47,False,,86,9317621738535.4,656614669.1773058,,2025-07-01T18:25:00.000Z,7.047020018656782e-05,48072039.70167068,-33.6995,-0.73276216,-6.6419778,-3.87997506,-16.894699,-18.1244461,20.62829098,678213520.0493319,0.0208,680760520.66,,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,2025-07-02 00:02:29.214596,Mid Cap ($100M–$1B)
